Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12331,2023-02-23,-0.050691969,0.0082868705,0.0083255504,21,100
Market-Adjusted Model,12332,2023-02-23,-0.136597786,-0.073599238,-0.077580267,21,100
Market-Adjusted Model,12333,2023-02-23,-0.124851617,-0.069871567,-0.065834098,21,100
Market-Adjusted Model,12334,2023-02-23,-0.065459972,-0.005867545,-0.006442453,21,100
Market-Adjusted Model,12338,2023-02-23,-0.091029032,-0.03338224,-0.032011513,21,100
Market-Adjusted Model,12339,2023-02-23,0.0152905014,0.0953982881,0.0743080207,21,100
Market-Adjusted Model,12341,2023-02-23,-0.015509801,0.0444717055,0.0435077184,21,100
Market-Adjusted Model,12345,2023-02-23,-0.080554028,-0.0220672,-0.021536508,21,100
Market-Adjusted Model,12350,2023-02-23,-0.562816496,-0.7203043,-0.503798976,21,100
Market-Adjusted Model,12355,2023-02-23,-0.063436519,-0.000988114,-0.004418999,21,100
Market-Adjusted Model,12358,2023-02-23,-0.40314466,-0.425763462,-0.344127141,21,100
Market-Adjusted Model,12360,2023-02-23,-0.220444407,-0.163586328,-0.161426888,21,100
Market-Adjusted Model,12363,2023-02-23,-0.019264471,0.0485745404,0.0397530487,21,100
Market-Adjusted Model,12366,2023-02-23,-0.050977122,0.0084910839,0.0080403975,21,100
Market-Adjusted Model,12367,2023-02-23,-0.161616184,-0.09915829,-0.102598665,21,100
Market-Adjusted Model,12368,2023-02-23,-0.052155544,0.0071502634,0.0068619753,21,100
Market-Adjusted Model,12369,2023-02-23,-0.084393598,-0.023577012,-0.025376078,21,100
Market-Adjusted Model,12370,2023-02-23,-0.129211351,-0.075223361,-0.070193832,21,100
Market-Adjusted Model,12372,2023-02-23,-0.095859554,-0.037651549,-0.036842034,21,100
Market-Adjusted Model,12373,2023-02-23,-0.096085441,-0.037202387,-0.037067922,21,100
Market-Adjusted Model,12376,2023-02-23,-0.058290134,0.0013102721,0.0007273858,21,100
Market-Adjusted Model,12377,2023-02-23,-0.115290613,-0.055023315,-0.056273094,21,100
Market-Adjusted Model,12380,2023-02-23,0.040144814,0.1038060519,0.0991623334,21,100
Market-Adjusted Model,12385,2023-02-23,0.0452962088,0.1050355183,0.1043137281,21,100
Market-Adjusted Model,12391,2023-02-23,-0.033589286,0.0294221364,0.0254282336,21,100
Market-Adjusted Model,12397,2023-02-23,0.0043290034,0.0686967265,0.0633465227,21,100
Market-Adjusted Model,12400,2023-02-23,-0.014228223,0.0473393145,0.0447892967,21,100
Market-Adjusted Model,12411,2023-02-23,-0.040678007,0.0237431064,0.0183395125,21,100
Market-Adjusted Model,12412,2023-02-23,-0.073811695,-0.016099356,-0.014794175,21,100
Market-Adjusted Model,12431,2023-02-23,0.0520247245,0.1123176884,0.1110422438,21,100
Market-Adjusted Model,12437,2023-02-23,0.0148148004,0.0592013581,0.0587025222,14,100
Market-Adjusted Model,12442,2023-02-23,0.3125996091,0.3423867893,0.3716171284,21,100
Market-Adjusted Model,12443,2023-02-23,-0.249286613,-0.215785711,-0.190269093,21,100
Market-Adjusted Model,12447,2023-02-23,-0.206911944,-0.159666108,-0.147894424,21,100
Market-Adjusted Model,12448,2023-02-23,-0.331825461,-0.323154369,-0.272807941,21,100
Market-Adjusted Model,12449,2023-02-23,-0.040727386,0.0201445027,0.0182901337,21,100
Market-Adjusted Model,12452,2023-02-23,-0.091522139,-0.03382326,-0.03250462,21,100
Market-Adjusted Model,12453,2023-02-23,-0.004715038,0.0550705325,0.0543024815,21,100
Market-Adjusted Model,12457,2023-02-23,-0.060791576,-0.002265348,-0.001774057,21,100
Market-Adjusted Model,12461,2023-02-23,-0.110691463,-0.055398213,-0.051673943,21,100
Market-Adjusted Model,12462,2023-02-23,-0.096072934,-0.039292633,-0.037055414,21,100
Market-Adjusted Model,12472,2023-02-23,-0.078257053,-0.018562826,-0.019239534,21,100
Market-Adjusted Model,12473,2023-02-23,-0.077903652,-0.018683178,-0.018886133,21,100
Market-Adjusted Model,12476,2023-02-23,0.0080428772,0.0708247656,0.0670603965,21,100
Market-Adjusted Model,12477,2023-02-23,-0.134114674,-0.078999874,-0.075097154,21,100
Market-Adjusted Model,12480,2023-02-23,-0.131285379,-0.077869769,-0.07226786,21,100
Market-Adjusted Model,12487,2023-02-23,0.0002832676,0.0795687426,0.0593007869,21,100
Market-Adjusted Model,12488,2023-02-23,-0.003964785,0.0600670799,0.0550527348,21,100
Market-Adjusted Model,12490,2023-02-23,-0.059802903,-0.000946857,-0.000785384,21,100
Market-Adjusted Model,12495,2023-02-23,-0.036578092,0.0749981808,0.022439427,21,100
Market-Adjusted Model,12497,2023-02-23,-0.199999952,-0.151104911,-0.140982432,21,100
Market-Adjusted Model,12500,2023-02-23,-0.722950817,-0.884565433,-0.663933298,21,100
Market-Adjusted Model,12502,2023-02-23,0.0206233099,0.0946391813,0.0796408292,21,100
Market-Adjusted Model,12505,2023-02-23,-0.086959442,-0.028662037,-0.027941923,21,100
Market-Adjusted Model,12508,2023-02-23,-0.035887315,0.0239624521,0.0231302038,21,100
Market-Adjusted Model,12510,2023-02-23,0.0982456875,0.1564493079,0.1572632068,21,100
Market-Adjusted Model,12513,2023-02-23,-0.233171727,-0.201156242,-0.174154207,21,100
Market-Adjusted Model,12514,2023-02-23,-0.089109606,-0.029148887,-0.030092087,21,100
Market-Adjusted Model,12515,2023-02-23,-0.215777276,-0.177031717,-0.156759757,21,100
Market-Adjusted Model,12516,2023-02-23,-0.038906852,0.0206385631,0.0201106674,21,100
Market-Adjusted Model,12523,2023-02-23,-0.043903129,0.0156101012,0.0151143907,21,100
Market-Adjusted Model,12527,2023-02-23,0.2043795379,0.6845555598,0.2633970573,21,100
Market-Adjusted Model,12528,2023-02-23,0.1460674181,0.200843165,0.2050849374,21,100
Market-Adjusted Model,12530,2023-02-23,0.0320537979,0.0956017029,0.0910713172,21,100
Market-Adjusted Model,12531,2023-02-23,0.0607063175,0.1354797794,0.1197238368,21,100
Market-Adjusted Model,12533,2023-02-23,-0.074919475,-0.016364549,-0.015901955,21,100
Market-Adjusted Model,12534,2023-02-23,-0.081852314,-0.023928072,-0.022834794,21,100
Market-Adjusted Model,12535,2023-02-23,-0.064077911,-0.005286143,-0.005060392,21,100
Market-Adjusted Model,12536,2023-02-23,-0.080264434,-0.022430127,-0.021246914,21,100
Market-Adjusted Model,12537,2023-02-23,-0.004439754,0.0555330455,0.054577765,21,100
Market-Adjusted Model,12540,2023-02-23,-0.042131315,0.0202124104,0.0168862047,21,100
Market-Adjusted Model,12543,2023-02-23,-0.015133498,0.0450150485,0.0438840212,21,100
Market-Adjusted Model,12552,2023-02-23,-0.059093574,-0.000739153,-0.000076054,21,100
Market-Adjusted Model,12558,2023-02-23,-0.062363306,-0.003279399,-0.003345787,21,100
Market-Adjusted Model,12564,2023-02-23,-0.006632856,0.0536109639,0.0523846637,21,100
Market-Adjusted Model,12565,2023-02-23,-0.024969573,0.0348893324,0.0340479458,21,100
Market-Adjusted Model,12566,2023-02-23,-0.154237841,-0.099085855,-0.095220321,21,100
Market-Adjusted Model,12569,2023-02-23,0.0179641327,0.0869076088,0.0769816521,21,100
Market-Adjusted Model,12570,2023-02-23,-0.016903818,0.0451678283,0.0421137009,21,100
Market-Adjusted Model,12573,2023-02-23,-0.43349754,-0.493713837,-0.374480021,21,100
Market-Adjusted Model,12577,2023-02-23,0.029268263,0.1125402119,0.0882857824,21,100
Market-Adjusted Model,12578,2023-02-23,-0.018243782,0.0422209137,0.0407737373,21,100
Market-Adjusted Model,12579,2023-02-23,-0.247663576,-0.21057135,-0.188646057,21,100
Market-Adjusted Model,12583,2023-02-23,-0.043990339,0.0184927508,0.0150271802,21,100
Market-Adjusted Model,12591,2023-02-23,-0.076384238,-0.013537695,-0.017366718,21,100
Market-Adjusted Model,12592,2023-02-23,0.0999999968,0.220533089,0.1590175161,21,100
Market-Adjusted Model,12593,2023-02-23,-0.050490384,0.0093417901,0.0085271356,21,100
Market-Adjusted Model,12615,2023-02-23,-0.056209802,0.0042159828,0.0028077176,21,100
Market-Adjusted Model,12621,2023-02-23,-0.020799638,0.0414821204,0.0382178817,21,100
Market-Adjusted Model,12622,2023-02-23,-0.01214587,0.0494201377,0.0468716492,21,100
Market-Adjusted Model,12623,2023-02-23,-0.062587804,-0.003394682,-0.003570285,21,100
Market-Adjusted Model,12625,2023-02-23,-0.052982705,0.0060988069,0.0060348146,21,100
Market-Adjusted Model,12628,2023-02-23,-0.104394595,-0.046994075,-0.045377076,21,100
Market-Adjusted Model,12629,2023-02-23,-0.089509172,-0.026946873,-0.030491653,21,100
Market-Adjusted Model,12631,2023-02-23,-0.00512531,0.0546777142,0.0538922089,21,100
Market-Adjusted Model,12633,2023-02-23,0.0354803285,0.09509339,0.0944978479,21,100
Market-Adjusted Model,12641,2023-02-23,-0.111409381,-0.055330622,-0.052391861,21,100
Market-Adjusted Model,12644,2023-02-23,0.1544025673,0.2108568157,0.2134200867,21,100
Market-Adjusted Model,12646,2023-02-23,-0.054916209,0.0051386006,0.0041013105,21,100
Market-Adjusted Model,12647,2023-02-23,-0.026548661,0.033961846,0.0324688583,21,100
Market-Adjusted Model,12648,2023-02-23,-0.011087715,0.0501278084,0.0479298044,21,100
Market-Adjusted Model,12649,2023-02-23,0.0075471599,0.0716124596,0.0665646792,21,100
Market-Adjusted Model,12651,2023-02-23,-0.025753952,0.0365579402,0.0332635674,21,100
Market-Adjusted Model,12652,2023-02-23,0.0286358636,0.0892408897,0.0876533829,21,100
Market-Adjusted Model,12654,2023-02-23,-0.028228981,0.0319382663,0.0307885386,21,100
Market-Adjusted Model,12655,2023-02-23,0.0126701295,0.0735575259,0.0716876488,21,100
Market-Adjusted Model,12656,2023-02-23,-0.048870359,0.0108517342,0.0101471602,21,100
Market-Adjusted Model,12657,2023-02-23,-0.085709141,-0.02822291,-0.026691621,21,100
Market-Adjusted Model,12658,2023-02-23,-0.05755157,0.00197619,0.0014659494,21,100
Market-Adjusted Model,12659,2023-02-23,-0.082689313,-0.024746944,-0.023671794,21,100
Market-Adjusted Model,12662,2023-02-23,-0.023897079,0.0372748282,0.0351204407,21,100
Market-Adjusted Model,12666,2023-02-23,0.0080302829,0.0677637713,0.0670478022,21,100
Market-Adjusted Model,12672,2023-02-23,0.0251460621,0.0848693949,0.0841635814,21,100
Market-Adjusted Model,12673,2023-02-23,-0.065620154,-0.006225984,-0.006602635,21,100
Market-Adjusted Model,12675,2023-02-23,-0.027382429,0.0322325457,0.0316350901,21,100
Market-Adjusted Model,12676,2023-02-23,-0.033512425,0.0258616224,0.025505094,21,100
Market-Adjusted Model,12680,2023-02-23,-0.25486663,-0.213234112,-0.195849111,21,100
Market-Adjusted Model,12681,2023-02-23,-0.10061838,-0.043927081,-0.04160086,21,100
Market-Adjusted Model,12684,2023-02-23,-0.044864241,0.0168148176,0.0141532782,21,100
Market-Adjusted Model,12690,2023-02-23,-0.139303467,-0.085368974,-0.080285948,21,100
Market-Adjusted Model,12693,2023-02-23,-0.035107982,0.0262585286,0.0239095372,21,100
Market-Adjusted Model,12697,2023-02-23,0.0283019736,0.0963779667,0.0873194929,21,100
